Atom_fukui;q(N);q(N+1);q(N-1);f-;f+;f0;CDD;AtomNum;Atomic Number;Atomic Type;X;Y;Z
1(C );0.0095;-0.0089;0.018;0.0085;0.0184;0.0135;0.0099;1;6;0;5.506397;-0.718963;1.024367
2(O );-0.1506;-0.1771;-0.1345;0.0161;0.0265;0.0213;0.0103;2;8;0;4.88464;-0.689779;-0.253267
3(C );0.066;-0.0174;0.0947;0.0286;0.0834;0.056;0.0548;3;6;0;3.542804;-0.403534;-0.193477
4(C );-0.0177;-0.0995;0.0146;0.0323;0.0818;0.0571;0.0495;4;6;0;3.113502;0.895785;-0.157585
5(C );-0.0786;-0.1;-0.068;0.0105;0.0214;0.016;0.0109;5;6;0;4.041746;2.072882;-0.184381
6(C );0.0311;0.0138;0.0551;0.024;0.0173;0.0207;-0.0067;6;6;0;1.706893;1.143617;-0.106597
7(C );-0.1144;-0.1608;-0.0101;0.1043;0.0464;0.0754;-0.0578;7;6;0;0.932716;2.288207;-0.054613
8(C );0.0715;0.0558;0.0888;0.0174;0.0157;0.0165;-0.0017;8;6;0;-0.423658;1.860003;-0.022073
9(N );-0.2448;-0.2826;-0.1259;0.1188;0.0378;0.0783;-0.081;9;7;0;-1.654282;2.331886;0.03231
10(C );0.0197;0.007;0.037;0.0174;0.0127;0.015;-0.0047;10;6;0;-2.44767;1.2061;0.03257
11(C );-0.0682;-0.0948;-0.0171;0.0511;0.0267;0.0389;-0.0244;11;6;0;-3.839886;1.121318;0.078629
12(C );0.0649;0.0372;0.0901;0.0252;0.0277;0.0265;0.0025;12;6;0;-4.441065;-0.132898;0.070405
13(C );-0.0844;-0.111;-0.0262;0.0582;0.0266;0.0424;-0.0316;13;6;0;-3.67816;-1.315623;0.016891
14(C );-0.0657;-0.0849;-0.0411;0.0246;0.0192;0.0219;-0.0054;14;6;0;-2.288148;-1.260077;-0.030387
15(C );-0.0012;-0.0019;0.0278;0.029;0.0006;0.0148;-0.0284;15;6;0;-1.693521;-0.007525;-0.022236
16(N );0.0251;0.0136;0.0318;0.0067;0.0115;0.0091;0.0048;16;7;0;-0.394572;0.467379;-0.057709
17(N );0.0567;0.0157;0.0922;0.0354;0.0411;0.0383;0.0056;17;7;0;0.878177;0.019195;-0.105712
18(C );0.0102;-0.0919;0.0353;0.025;0.1021;0.0636;0.0771;18;6;0;1.307755;-1.272787;-0.167092
19(C );-0.031;-0.0609;0.0167;0.0477;0.0299;0.0388;-0.0178;19;6;0;2.64393;-1.526139;-0.206359
20(C );-0.0792;-0.0912;-0.0652;0.014;0.012;0.013;-0.002;20;6;0;3.185192;-2.924579;-0.299317
21(O );-0.1471;-0.1624;-0.1287;0.0184;0.0154;0.0169;-0.0031;21;8;0;-5.805805;-0.126819;0.117641
22(C );0.0068;-0.0008;0.016;0.0092;0.0076;0.0084;-0.0016;22;6;0;-6.468613;-1.367591;0.111507
23(H );0.0346;0.0231;0.0407;0.0061;0.0115;0.0088;0.0054;23;1;0;5.456354;0.264169;1.507198
24(H );0.0338;0.0201;0.0401;0.0063;0.0137;0.01;0.0075;24;1;0;5.029661;-1.459476;1.678056
25(H );0.0487;0.0223;0.0647;0.016;0.0264;0.0212;0.0104;25;1;0;6.548453;-0.994306;0.858551
26(H );0.0393;0.0193;0.0558;0.0165;0.0199;0.0182;0.0034;26;1;0;5.061298;1.754318;-0.405889
27(H );0.0437;0.0174;0.056;0.0123;0.0263;0.0193;0.014;27;1;0;3.723442;2.784773;-0.953295
28(H );0.0407;0.0109;0.0555;0.0148;0.0299;0.0223;0.0151;28;1;0;4.031928;2.603918;0.774523
29(H );0.0566;0.03;0.0935;0.037;0.0265;0.0317;-0.0104;29;1;0;1.289752;3.304278;-0.034782
30(H );0.0537;0.0352;0.0796;0.0259;0.0185;0.0222;-0.0074;30;1;0;-4.452342;2.014402;0.120418
31(H );0.0365;0.0201;0.0623;0.0258;0.0164;0.0211;-0.0094;31;1;0;-4.160709;-2.284559;0.01164
32(H );0.0405;0.0325;0.0581;0.0175;0.0081;0.0128;-0.0095;32;1;0;-1.713941;-2.179361;-0.070939
33(H );0.0621;0.0209;0.0773;0.0152;0.0412;0.0282;0.026;33;1;0;0.541007;-2.036597;-0.184066
34(H );0.0387;0.0209;0.0513;0.0126;0.0178;0.0152;0.0052;34;1;0;2.371642;-3.651777;-0.356176
35(H );0.0429;0.0249;0.0622;0.0193;0.018;0.0187;-0.0013;35;1;0;3.816121;-3.036745;-1.18534
36(H );0.0364;0.019;0.0555;0.0192;0.0174;0.0183;-0.0018;36;1;0;3.802919;-3.175885;0.569116
37(H );0.0331;0.0264;0.0415;0.0084;0.0067;0.0076;-0.0017;37;1;0;-6.254398;-1.934842;-0.803231
38(H );0.033;0.0263;0.0414;0.0084;0.0067;0.0075;-0.0017;38;1;0;-6.193937;-1.975933;0.982667
39(H );0.0468;0.0337;0.063;0.0162;0.0131;0.0147;-0.0031;39;1;0;-7.534473;-1.141976;0.152816
